jday,Hday,Hphosyn,Δbiomax,γreg,Δbioactual,bioactual
45,12.7000,0.0000,0.0000,0.0100,0.0000,0.0000
46,13.2000,0.0000,0.0000,0.0100,0.0000,0.0000
47,12.5000,0.0000,0.0000,0.0100,0.0000,0.0000
48,12.1000,0.0000,0.0000,0.0100,0.0000,0.0000
49,10.6000,0.0000,0.0000,0.0100,0.0000,0.0000
50,3.2000,0.0000,0.0000,0.0100,0.0000,0.0000
51,7.9000,0.0000,0.0000,0.0100,0.0000,0.0000
52,13.6000,0.0000,0.0000,0.0100,0.0000,0.0000
53,3.4000,0.0000,0.0000,0.0100,0.0000,0.0000
54,8.5000,0.0000,0.0000,0.0100,0.0000,0.0000
55,15.0000,0.0000,0.0000,0.0100,0.0000,0.0000
56,9.1000,0.0000,0.0000,0.0100,0.0000,0.0000
57,15.5000,0.0000,0.0000,0.0100,0.0000,0.0000
58,13.3000,0.0000,0.0000,0.0100,0.0000,0.0000
59,10.8000,0.0000,0.0000,0.0100,0.0000,0.0000
